"","ensembl_gene_id","hgnc_symbol"
"272","ENSG00000116785","CFHR3"
"273","ENSG00000116786","PLEKHM2"
"274","ENSG00000116791","CRYZ"
"275","ENSG00000116793","PHTF1"
"276","ENSG00000116809","ZBTB17"
"277","ENSG00000116815","CD58"
"278","ENSG00000116819","TFAP2E"
"279","ENSG00000116824","CD2"
"280","ENSG00000116830","TTF2"
"281","ENSG00000116833","NR5A2"
"282","ENSG00000116852","KIF21B"
"283","ENSG00000116857","TMEM9"
"284","ENSG00000116863","ADPRS"
"285","ENSG00000116871","MAP7D1"
"286","ENSG00000116874","WARS2"
"287","ENSG00000116882","HAO2"
"288","ENSG00000116885","OSCP1"
"289","ENSG00000116898","MRPS15"
"290","ENSG00000116922","AIRIM"
"291","ENSG00000116954","RRAGC"
"292","ENSG00000116981","NT5C1A"
"293","ENSG00000116983","HPCAL4"
"294","ENSG00000116985","BMP8B"
"295","ENSG00000116990","MYCL"
"296","ENSG00000117000","RLF"
"297","ENSG00000117010","ZNF684"
"298","ENSG00000117013","KCNQ4"
"299","ENSG00000117016","RIMS3"
"300","ENSG00000117036","ETV3"
"301","ENSG00000117054","ACADM"
"302","ENSG00000117069","ST6GALNAC5"
"303","ENSG00000117090","SLAMF1"
"304","ENSG00000117091","CD48"
"305","ENSG00000117114","ADGRL2"
"306","ENSG00000117115","PADI2"
"307","ENSG00000117118","SDHB"
"308","ENSG00000117122","MFAP2"
"309","ENSG00000117133","RPF1"
"310","ENSG00000117139","KDM5B"
"311","ENSG00000117143","UAP1"
"312","ENSG00000117148","ACTL8"
"313","ENSG00000117151","CTBS"
"314","ENSG00000117152","RGS4"
"315","ENSG00000117153","KLHL12"
"316","ENSG00000117154","IGSF21"
"317","ENSG00000117155","SSX2IP"
"318","ENSG00000117174","ZNHIT6"
"319","ENSG00000117215","PLA2G2D"
"320","ENSG00000117222","RBBP5"
"321","ENSG00000117226","GBP3"
"322","ENSG00000117228","GBP1"
"323","ENSG00000117242","PINK1-AS"
"324","ENSG00000117245","KIF17"
"325","ENSG00000117262","GPR89A"
"326","ENSG00000117266","CDK18"
"327","ENSG00000117280","RAB29"
"328","ENSG00000117281","CD160"
"329","ENSG00000117298","ECE1"
"330","ENSG00000117305","HMGCL"
"331","ENSG00000117308","GALE"
"332","ENSG00000117318","ID3"
"333","ENSG00000117322","CR2"
"334","ENSG00000117335","CD46"
"335","ENSG00000117360","PRPF3"
"336","ENSG00000117362","APH1A"
"337","ENSG00000117385","P3H1"
"338","ENSG00000117394","SLC2A1"
"339","ENSG00000117395","EBNA1BP2"
"340","ENSG00000117399","CDC20"
"341","ENSG00000117400","MPL"
"342","ENSG00000117407","ARTN"
"343","ENSG00000117408","IPO13"
"344","ENSG00000117410","ATP6V0B"
"345","ENSG00000117411","B4GALT2"
"346","ENSG00000117419","ERI3"
"347","ENSG00000117425","PTCH2"
"348","ENSG00000117448","AKR1A1"
"349","ENSG00000117450","PRDX1"
"350","ENSG00000117461","PIK3R3"
"351","ENSG00000117472","TSPAN1"
"352","ENSG00000117475","BLZF1"
"353","ENSG00000117477","CCDC181"
"354","ENSG00000117479","SLC19A2"
"355","ENSG00000117480","FAAH"
"356","ENSG00000117481","NSUN4"
"357","ENSG00000117500","TMED5"
"358","ENSG00000117501","MROH9"
"359","ENSG00000117505","DR1"
"360","ENSG00000117507","FMO6P"
"361","ENSG00000117519","CNN3"
"362","ENSG00000117523","PRRC2C"
"363","ENSG00000117525","F3"
"364","ENSG00000117528","ABCD3"
"365","ENSG00000117533","VAMP4"
"366","ENSG00000117543","DPH5"
"367","ENSG00000117560","FASLG"
"368","ENSG00000117569","PTBP2"
"369","ENSG00000117586","TNFSF4"
"370","ENSG00000117592","PRDX6"
"371","ENSG00000117593","DARS2"
"372","ENSG00000117594","HSD11B1"
"373","ENSG00000117595","IRF6"
"374","ENSG00000117597","UTP25"
"375","ENSG00000117598","PLPPR5"
"376","ENSG00000117600","PLPPR4"
"377","ENSG00000117601","SERPINC1"
"378","ENSG00000117602","RCAN3"
"379","ENSG00000117614","SYF2"
"380","ENSG00000117616","RSRP1"
"381","ENSG00000117620","SLC35A3"
"382","ENSG00000117625","RCOR3"
"383","ENSG00000117632","STMN1"
"384","ENSG00000117640","MTFR1L"
"385","ENSG00000117643","MAN1C1"
"386","ENSG00000117650","NEK2"
"387","ENSG00000117676","RPS6KA1"
"388","ENSG00000117682","DHDDS"
"389","ENSG00000117713","ARID1A"
"390","ENSG00000117748","RPA2"
"391","ENSG00000117751","PPP1R8"
"392","ENSG00000117758","STX12"
"393","ENSG00000117834","SLC5A9"
"394","ENSG00000117859","OSBPL9"
"395","ENSG00000117862","TXNDC12"
"396","ENSG00000118193","KIF14"
"397","ENSG00000118194","TNNT2"
"398","ENSG00000118197","DDX59"
"399","ENSG00000118200","CAMSAP2"
"400","ENSG00000118217","ATF6"
"401","ENSG00000118292","C1orf54"
"402","ENSG00000118298","CA14"
"403","ENSG00000118454","ANKRD13C"
"404","ENSG00000118473","SGIP1"
"405","ENSG00000118655","DCLRE1B"
"406","ENSG00000118729","CASQ2"
"407","ENSG00000118733","OLFM3"
"408","ENSG00000119535","CSF3R"
"409","ENSG00000120332","TNN"
"410","ENSG00000120333","MRPS14"
"411","ENSG00000120334","CENPL"
"412","ENSG00000120337","TNFSF18"
"413","ENSG00000120341","SEC16B"
"414","ENSG00000120370","GORAB"
"415","ENSG00000120656","TAF12"
"416","ENSG00000120937","NPPB"
"417","ENSG00000120942","UBIAD1"
"418","ENSG00000120948","TARDBP"
"419","ENSG00000120949","TNFRSF8"
"420","ENSG00000120952","PRAMEF2"
"421","ENSG00000121310","ECHDC2"
"422","ENSG00000121446","RGSL1"
"423","ENSG00000121454","LHX4"
"424","ENSG00000121481","RNF2"
"425","ENSG00000121486","TRMT1L"
"426","ENSG00000121634","GJA8"
"427","ENSG00000121753","ADGRB2"
"428","ENSG00000121764","HCRTR1"
"429","ENSG00000121766","ZCCHC17"
"430","ENSG00000121769","FABP3"
"431","ENSG00000121774","KHDRBS1"
"432","ENSG00000121775","TMEM39B"
"433","ENSG00000121851","POLR3GL"
"434","ENSG00000121900","TMEM54"
"435","ENSG00000121903","ZSCAN20"
"436","ENSG00000121904","CSMD2"
"437","ENSG00000121905","HPCA"
"438","ENSG00000121931","LRIF1"
"439","ENSG00000121933","TMIGD3"
"440","ENSG00000121940","CLCC1"
"441","ENSG00000121957","GPSM2"
"442","ENSG00000122176","FMOD"
"443","ENSG00000122180","MYOG"
"444","ENSG00000122188","LAX1"
"445","ENSG00000122218","COPA"
"446","ENSG00000122223","CD244"
"447","ENSG00000122224","LY9"
"448","ENSG00000122406","RPL5"
"449","ENSG00000122417","ODF2L"
"450","ENSG00000122420","PTGFR"
"451","ENSG00000122432","SPATA1"
"452","ENSG00000122435","TRMT13"
"453","ENSG00000122477","LRRC39"
"454","ENSG00000122481","RWDD3"
"455","ENSG00000122482","ZNF644"
"456","ENSG00000122483","CCDC18"
"457","ENSG00000122484","RPAP2"
"458","ENSG00000123080","CDKN2C"
"459","ENSG00000123091","RNF11"
"460","ENSG00000123472","ATPAF1"
"461","ENSG00000123473","STIL"
"462","ENSG00000123684","LPGAT1"
"463","ENSG00000123689","G0S2"
"464","ENSG00000123836","PFKFB2"
"465","ENSG00000123838","C4BPA"
"466","ENSG00000123843","C4BPB"
"467","ENSG00000125459","MSTO1"
"468","ENSG00000125462","MIR9-1HG"
"469","ENSG00000125703","ATG4C"
"470","ENSG00000125944","HNRNPR"
"471","ENSG00000125945","ZNF436"
"472","ENSG00000126067","PSMB2"
"473","ENSG00000126070","AGO3"
"474","ENSG00000126088","UROD"
"475","ENSG00000126091","ST3GAL3"
"476","ENSG00000126106","TMEM53"
"477","ENSG00000126107","HECTD3"
"478","ENSG00000126698","DNAJC8"
"479","ENSG00000126705","AHDC1"
"480","ENSG00000126709","IFI6"
"481","ENSG00000127054","INTS11"
"482","ENSG00000127074","RGS13"
"483","ENSG00000127124","HIVEP3"
"484","ENSG00000127125","PPCS"
"485","ENSG00000127129","EDN2"
"486","ENSG00000127423","AUNIP"
"487","ENSG00000127463","EMC1"
"488","ENSG00000127472","PLA2G5"
"489","ENSG00000127481","UBR4"
"490","ENSG00000127483","HP1BP3"
"491","ENSG00000127603","MACF1"
"492","ENSG00000130695","CEP85"
"493","ENSG00000130762","ARHGEF16"
"494","ENSG00000130764","LRRC47"
"495","ENSG00000130766","SESN2"
"496","ENSG00000130768","SMPDL3B"
"497","ENSG00000130770","ATP5IF1"
"498","ENSG00000130772","MED18"
"499","ENSG00000130775","THEMIS2"
"500","ENSG00000130939","UBE4B"
"501","ENSG00000130940","CASZ1"
"502","ENSG00000131233","GJA9"
"503","ENSG00000131236","CAP1"
"504","ENSG00000131238","PPT1"
"505","ENSG00000131584","ACAP3"
"506","ENSG00000131591","C1orf159"
"507","ENSG00000131686","CA6"
"508","ENSG00000131697","NPHP4"
"509","ENSG00000131778","CHD1L"
"510","ENSG00000131779","PEX11B"
"511","ENSG00000131781","FMO5"
"512","ENSG00000131788","PIAS3"
"513","ENSG00000131791","PRKAB2"
"514","ENSG00000131910","NR0B2"
"515","ENSG00000131914","LIN28A"
"516","ENSG00000132122","SPATA6"
"517","ENSG00000132128","LRRC41"
"518","ENSG00000132185","FCRLA"
"519","ENSG00000132196","HSD17B7"
"520","ENSG00000132485","ZRANB2"
"521","ENSG00000132676","DAP3"
"522","ENSG00000132677","RHBG"
"523","ENSG00000132680","KHDC4"
"524","ENSG00000132681","ATP1A4"
"525","ENSG00000132688","NES"
"526","ENSG00000132692","BCAN"
"527","ENSG00000132693","CRP"
"528","ENSG00000132694","ARHGEF11"
"529","ENSG00000132698","RAB25"
"530","ENSG00000132702","HAPLN2"
"531","ENSG00000132703","APCS"
"532","ENSG00000132704","FCRL2"
"533","ENSG00000132716","DCAF8"
"534","ENSG00000132718","SYT11"
"535","ENSG00000132763","MMACHC"
"536","ENSG00000132768","DPH2"
"537","ENSG00000132773","TOE1"
"538","ENSG00000132780","NASP"
"539","ENSG00000132781","MUTYH"
"540","ENSG00000132849","PATJ"
"541","ENSG00000132854","KANK4"
"542","ENSG00000132855","ANGPTL3"
"543","ENSG00000132879","FBXO44"
"544","ENSG00000132881","CPLANE2"
"545","ENSG00000132906","CASP9"
"546","ENSG00000133048","CHI3L1"
"547","ENSG00000133055","MYBPH"
"548","ENSG00000133056","PIK3C2B"
"549","ENSG00000133059","DSTYK"
"550","ENSG00000133063","CHIT1"
"551","ENSG00000133065","SLC41A1"
"552","ENSG00000133067","LGR6"
"553","ENSG00000133069","TMCC2"
"554","ENSG00000133216","EPHB2"
"555","ENSG00000133226","SRRM1"
"556","ENSG00000134183","GNAT2"
"557","ENSG00000134184","GSTM1"
"558","ENSG00000134186","PRPF38B"
"559","ENSG00000134193","REG4"
"560","ENSG00000134198","TSPAN2"
"561","ENSG00000134200","TSHB"
"562","ENSG00000134201","GSTM5"
"563","ENSG00000134202","GSTM3"
"564","ENSG00000134207","SYT6"
"565","ENSG00000134215","VAV3"
"566","ENSG00000134216","CHIA"
"567","ENSG00000134222","PSRC1"
"568","ENSG00000134240","HMGCS2"
"569","ENSG00000134242","PTPN22"
"570","ENSG00000134243","SORT1"
"571","ENSG00000134245","WNT2B"
"572","ENSG00000134247","PTGFRN"
"573","ENSG00000134248","LAMTOR5"
"574","ENSG00000134249","ADAM30"
"575","ENSG00000134250","NOTCH2"
"576","ENSG00000134253","TRIM45"
"577","ENSG00000134255","CEPT1"
"578","ENSG00000134256","CD101"
"579","ENSG00000134258","VTCN1"
"580","ENSG00000134259","NGF"
"581","ENSG00000134262","AP4B1"
"582","ENSG00000134365","CFHR4"
"583","ENSG00000134369","NAV1"
"584","ENSG00000134371","CDC73"
"585","ENSG00000134375","TIMM17A"
"586","ENSG00000134376","CRB1"
"587","ENSG00000134389","CFHR5"
"588","ENSG00000134644","PUM1"
"589","ENSG00000134668","SPOCD1"
"590","ENSG00000134684","YARS1"
"591","ENSG00000134686","PHC2"
"592","ENSG00000134690","CDCA8"
"593","ENSG00000134697","GNL2"
"594","ENSG00000134698","AGO4"
"595","ENSG00000134709","HOOK1"
"596","ENSG00000134716","CYP2J2"
"597","ENSG00000134717","BTF3L4"
"598","ENSG00000134744","TUT4"
"599","ENSG00000134748","PRPF38A"
"600","ENSG00000135821","GLUL"
"601","ENSG00000135823","STX6"
"602","ENSG00000135824","RGS8"
"603","ENSG00000135828","RNASEL"
"604","ENSG00000135829","DHX9"
"605","ENSG00000135835","KIAA1614"
"606","ENSG00000135837","CEP350"
"607","ENSG00000135838","NPL"
"608","ENSG00000135842","NIBAN1"
"609","ENSG00000135845","PIGC"
"610","ENSG00000135862","LAMC1"
"611","ENSG00000135870","RC3H1"
"612","ENSG00000136631","VPS45"
"613","ENSG00000136634","IL10"
"614","ENSG00000137936","BCAR3"
"615","ENSG00000137941","TTLL7"
"616","ENSG00000137942","FNBP1L"
"617","ENSG00000137944","KYAT3"
"618","ENSG00000137947","GTF2B"
"619","ENSG00000137948","BRDT"
"620","ENSG00000137955","RABGGTB"
"621","ENSG00000137959","IFI44L"
"622","ENSG00000137960","GIPC2"
"623","ENSG00000137962","ARHGAP29"
"624","ENSG00000137965","IFI44"
"625","ENSG00000137968","SLC44A5"
"626","ENSG00000137970","RPL7P9"
"627","ENSG00000137975","CLCA2"
"628","ENSG00000137976","DNASE2B"
"629","ENSG00000137992","DBT"
"630","ENSG00000137996","RTCA"
"631","ENSG00000142224","IL19"
"632","ENSG00000142583","SLC2A5"
"633","ENSG00000142599","RERE"
"634","ENSG00000142606","MMEL1"
"635","ENSG00000142609","CFAP74"
"636","ENSG00000142611","PRDM16"
"637","ENSG00000142615","CELA2A"
"638","ENSG00000142619","PADI3"
"639","ENSG00000142621","FHAD1"
"640","ENSG00000142623","PADI1"
"641","ENSG00000142627","EPHA2"
"642","ENSG00000142632","ARHGEF19"
"643","ENSG00000142634","EFHD2"
"644","ENSG00000142655","PEX14"
"645","ENSG00000142657","PGD"
"646","ENSG00000142661","MYOM3"
"647","ENSG00000142669","SH3BGRL3"
"648","ENSG00000142675","CNKSR1"
"649","ENSG00000142676","RPL11"
"650","ENSG00000142677","IL22RA1"
"651","ENSG00000142684","ZNF593"
"652","ENSG00000142686","C1orf216"
"653","ENSG00000142687","KIAA0319L"
"654","ENSG00000142694","EVA1B"
"655","ENSG00000142698","C1orf94"
"656","ENSG00000142700","DMRTA2"
"657","ENSG00000142733","MAP3K6"
"658","ENSG00000142748","FCN3"
"659","ENSG00000142751","GPN2"
"660","ENSG00000142765","SYTL1"
"661","ENSG00000142784","WDTC1"
"662","ENSG00000142789","CELA3A"
"663","ENSG00000142794","NBPF3"
"664","ENSG00000142798","HSPG2"
"665","ENSG00000142856","ITGB3BP"
"666","ENSG00000142864","SERBP1"
"667","ENSG00000142867","BCL10"
"668","ENSG00000142871","CCN1"
"669","ENSG00000142875","PRKACB"
"670","ENSG00000142892","PIGK"
"671","ENSG00000142910","TINAGL1"
"672","ENSG00000142920","AZIN2"
"673","ENSG00000142937","RPS8"
"674","ENSG00000142945","KIF2C"
"675","ENSG00000142949","PTPRF"
"676","ENSG00000142959","BEST4"
"677","ENSG00000142961","MOB3C"
"678","ENSG00000142973","CYP4B1"
"679","ENSG00000143001","TMEM61"
"680","ENSG00000143006","DMRTB1"
"681","ENSG00000143013","LMO4"
"682","ENSG00000143028","SYPL2"
"683","ENSG00000143032","BARHL2"
"684","ENSG00000143033","MTF2"
"685","ENSG00000143036","SLC44A3"
"686","ENSG00000143061","IGSF3"
"687","ENSG00000143067","ZNF697"
"688","ENSG00000143079","CTTNBP2NL"
"689","ENSG00000143093","STRIP1"
"690","ENSG00000143105","KCNA10"
"691","ENSG00000143106","PSMA5"
"692","ENSG00000143107","FNDC7"
"693","ENSG00000143110","C1orf162"
"694","ENSG00000143119","CD53"
"695","ENSG00000143125","PROK1"
"696","ENSG00000143126","CELSR2"
"697","ENSG00000143127","ITGA10"
"698","ENSG00000143147","GPR161"
"699","ENSG00000143149","ALDH9A1"
"700","ENSG00000143153","ATP1B1"
"701","ENSG00000143155","TIPRL"
"702","ENSG00000143156","NME7"
"703","ENSG00000143157","POGK"
"704","ENSG00000143158","MPC2"
"705","ENSG00000143162","CREG1"
"706","ENSG00000143164","DCAF6"
"707","ENSG00000143167","GPA33"
"708","ENSG00000143171","RXRG"
"709","ENSG00000143178","TBX19"
"710","ENSG00000143179","UCK2"
"711","ENSG00000143183","TMCO1"
"712","ENSG00000143184","XCL1"
"713","ENSG00000143185","XCL2"
"714","ENSG00000143190","POU2F1"
"715","ENSG00000143194","MAEL"
"716","ENSG00000143195","ILDR2"
"717","ENSG00000143196","DPT"
"718","ENSG00000143198","MGST3"
"719","ENSG00000143199","ADCY10"
"720","ENSG00000143207","COP1"
"721","ENSG00000143217","NECTIN4"
"722","ENSG00000143222","UFC1"
"723","ENSG00000143224","PPOX"
"724","ENSG00000143226","FCGR2A"
"725","ENSG00000143228","NUF2"
"726","ENSG00000143248","RGS5"
"727","ENSG00000143252","SDHC"
"728","ENSG00000143256","PFDN2"
"729","ENSG00000143257","NR1I3"
"730","ENSG00000143258","USP21"
"731","ENSG00000143278","F13B"
"732","ENSG00000143294","PRCC"
"733","ENSG00000143297","FCRL5"
"734","ENSG00000143303","METTL25B"
"735","ENSG00000143314","MRPL24"
"736","ENSG00000143315","PIGM"
"737","ENSG00000143318","CASQ1"
"738","ENSG00000143319","ISG20L2"
"739","ENSG00000143320","CRABP2"
